,created_at,id,reply_to_id,coordinates,place,retweet_count,favorite_count,lang,source,is_quote_status,user_id,user_loc,verified,followers_count,friends_count,favourites_count,statuses_count,listed_count,user_created_at,screen_name,user_description,text,tweet category,2017 Pew Research Typology
7094,5/3/2021 15:21,1390000000000000000,,,,6,0,en,TweetDeck,False,14177553,"Louisville, KY",False,32493,2998,16682,110681,663,3/19/2008 16:01,joesonka,I write about Kentucky government & politics for the Pulitzer Prize-winning @CourierJournal. Should we talk about the government? Hi hi.,"RT @RylandKY: McConnell says to fund a smaller infrastructure bill, Republicans ""are happy to look for traditional infrastructure pay-fors,…",,0
11503,5/1/2021 14:04,1390000000000000000,,,,6,10,en,Sidetoolz,False,8431652,South F-ing Florida,False,24545,2981,9079,677129,1896,8/25/2007 21:43,Shoq,I try to see and say things that need seeing and saying. • I believe in the semantic web. I just don't know what that means.,"That damn @joebiden has ended the war in Afghanistan, shut down the border wall project, passed the biggest child welfare bill; the biggest relief bill; and has just proposed the biggest infrastructure bill—in history. But still, he’s “just not progressive enough.” https://t.co/YI2Mf7SiPs",,3
14378,4/30/2021 15:59,1390000000000000000,,,,748,0,en,Twitter for Android,False,780000000000000000,DMV,False,151,2199,7338,991,0,9/25/2016 12:41,AlwayzNika,,"RT @TheRickyDavila: This morning, @MSNBC’s Stephanie Ruhle destroyed GQP bigoted Gov Jim Justice over the anti-Trans bill banning Trans chi…",,-4
6859,5/3/2021 16:35,1390000000000000000,,,,3,7,en,Twitter for iPhone,False,471547670,"Fairfield, CT",True,15092,7163,24398,18239,62,1/23/2012 0:36,alexplitsas,Pentagon & IC | Iraq & Afghanistan | American & Johns Hopkins | National Security Professional | Politico | Contributor @FDRLST | Beltway Survivor |,"“JUST IN: Senate Minority Leader Mitch McConnell just told reporters that he does not expect any Republicans to support President Biden's sweeping $4 trillion infrastructure package, indicating GOP lawmakers are open to a roughly $600 billion bill.”
https://t.co/55WTWHT4BZ",,0
13379,4/30/2021 19:06,1390000000000000000,,,,1155,0,en,Twitter for Android,False,2965319289,Montco PA via Pgh,False,143,2392,10663,4443,5,1/7/2015 2:22,newmanchrisa14,"No more malarkey! Let's make some Progress. 🌊
Dad. Husband. Brother. Neighbor.","RT @davidsirota: SCOOP: Joe Manchin raked in cash from private equity zillionaires, then was given an award by a private equity lobby group…",,-2
14711,4/30/2021 15:23,1390000000000000000,,,,256,0,en,Twitter for iPhone,False,104034603,United States of America,False,848,378,253589,284257,75,1/12/2010 1:52,ScoobyLady27,I'm an artist lover who lives in Texas,"RT @SenWarren: People in Massachusetts and across the country deserve safe drinking water free of lead, PFAS, and other dangerous pollutant…",,-4
7322,5/3/2021 14:29,1390000000000000000,,,,4,0,en,Twitter for Android,False,24945570,MD,False,91,176,25413,29685,0,3/17/2009 20:15,JJBuckingham,,RT @letsgetrealtal1: @GOPLeader The largest tax cut in US history added 2 TRILLION in debt. The rich made millions/billions &amp; middle income…,,-2
524,5/6/2021 15:23,1390000000000000000,,,,0,0,en,Twitter for iPad,False,569250704,New Jersey,False,39,81,641,3834,0,5/2/2012 16:56,zoobo123,old and in the way:// What you do defines you;//,"Here are the things Democrats are claiming to be ‘infrastructure’ in spending debate

https://t.co/7CENxUrntg
You know what else is infrastructure? Getting blowouts, sniffing women’s hair, free stuff, hell you name it the Dems will call it infrastructure. We’re all stupid.",,3
7823,5/3/2021 7:28,1390000000000000000,1390000000000000000,,,0,0,en,Twitter for iPhone,False,20903300,Mexborough,False,110,790,1784,2571,3,2/15/2009 10:28,AppleFanBoy82,,@VP Just another plan by Biden to bail out the failing Democrat run states. Top 5 states in deep debt are Democrat run. The infrastructure bill is a joke with only 6% going to infrastructure. How about going to the border and dealing with your administrations crisis you created,,3
7199,5/3/2021 14:57,1390000000000000000,,,,8,0,en,Twitter for iPhone,False,36957315,The Land of Sky Blue Waters,False,2240,3213,145155,180501,83,5/1/2009 14:48,Son_of_a_Thomp,"A Cartoonerer. The New Yorker..er. 
This stream is unreliably narrated.","RT @PeterGleick: Bipartisan.
The Senate passes the Water Infrastructure bill 89-2.
#water",,0
3234,5/5/2021 0:03,1390000000000000000,,,,42,0,en,Twitter for iPhone,False,1504997208,,False,124,145,14151,45638,5,6/11/2013 17:01,wkcarter2341,"Concerned citizen, retired science teacher.","RT @KayColesJames: We’ve been told our roads &amp; bridges are crumbling, but the Biden administration’s $2.25 trillion “infrastructure” plan s…",,4
5795,5/3/2021 23:59,1390000000000000000,1390000000000000000,,,0,0,en,Twitter for iPhone,False,1370755100,"Michigan, USA",False,1516,2486,49618,153771,4,4/21/2013 22:59,sap1028,Retired healthcare executive terrified of the devastation eliminating ACA will cause Americans. Will block all bots. Excuse any typos.  I have M.S.,@mkraju That is not enough to get everything done in the infrastructure bill that is needed.,,-4
3691,5/4/2021 20:07,1390000000000000000,,,,2,0,en,Twitter for iPhone,False,233949261,"2nd District, MI",True,24354,5147,2235,7561,957,1/4/2011 14:01,RepHuizenga,I serve the people of the 2nd District of Michigan. Member of Financial Services Committee. Father of 5. Visit http://t.co/Rj7T6mD76d for even more!,"RT @FinancialCmte: Dems’ so-called “infrastructure bill” is just a liberal wish-list of far-left priorities, spending merely 5% of it’s mul…",,4
11664,5/1/2021 12:29,1390000000000000000,,,,103,0,en,Twitter Web App,False,562280117,United States,False,11408,11864,181314,74752,5,4/24/2012 19:32,TStaples66,"Divided we fall.
#voteblue
#Impeachtrump
#TheResistance
#Resisters
#BlueWave2020
#PutinsPuppet
#MoscowMitch
#EndTheNightmare
#TRE45ON
@AAFascism","RT @MSNBC: .@SRuhle: ""According to US News &amp; World Report, West Virginia ranks 45th in education, 47th in health care, 48th on the economy,…",,-4
1452,5/5/2021 23:03,1390000000000000000,1390000000000000000,,,0,0,en,Twitter for iPhone,False,1960702134,,False,57,157,26413,3745,0,10/14/2013 13:57,mamabrown52,,@SpeakerPelosi @HouseDemocrats @POTUS If u want it passed drop everything u r tacking on to the infrastructure bill.,,4
15041,4/30/2021 14:58,1390000000000000000,,,,145,0,en,Twitter for iPhone,False,111097786,California,False,45,138,7191,11238,2,2/3/2010 20:18,rosieburkie,,"RT @MSNBC: .@SRuhle: ""According to US News &amp; World Report, West Virginia ranks 45th in education, 47th in health care, 48th on the economy,…",,-2
