,id,reply_to_id,coordinates,place,retweet_count,favorite_count,lang,source,is_quote_status,user_id,created_at,screen_name,user_loc,user_description,verified,followers_count,friends_count,favourites_count,statuses_count,listed_count,user_created_at,text,tweet category
0,1389676734782509058,,,,42,76,en,TweetDeck,FALSE,942089577975697408,2021-05-04 20:22:07+00:00,KayColesJames,"Washington, D.C.","President of The Heritage Foundation, @heritage",TRUE,29983,764,509,2570,208,2017-12-16 17:50:33+00:00,"b'We\xe2\x80\x99ve been told our roads &amp; bridges are crumbling, but the Biden administration\xe2\x80\x99s $2.25 trillion \xe2\x80\x9cinfrastructure\xe2\x80\x9d plan spends less than 5% on that. Most dollars go to expanding Medicaid, environmental activism, &amp; subsidizing electric cars. @WashTimesOpEd\n\nhttps://t.co/MHlJjuQEf0'",2
1,1389587932030328835,,,,48,211,en,Twitter Media Studio,FALSE,1344007696555663360,2021-05-04 14:29:14+00:00,RepCawthorn,,"Conservative, American, Congressman. Proudly serving NC-11. 
House Ed & Labor, Veterans Affairs Committee Member.
This account is maintained by federal staff.",TRUE,58787,90,225,594,354,2020-12-29 19:50:34+00:00,b'ICYMI: I joined @MariaBartiromo on @FoxBusiness this morning to discuss Biden\xe2\x80\x99s disastrous \xe2\x80\x9cinfrastructure\xe2\x80\x9d bill and how it will derail the economy and hurt the middle class. https://t.co/EZY5WRGJcQ',2.5
2,1389390850078220296,,,,97,500,en,Twitter for Android,FALSE,2414827232,2021-05-04 01:26:06+00:00,Janet4OH,Ohio,Founder @TheJordanWatch. Retired Schoolteacher. Union Leader. Country over Party. People over Politics. Former Congressional Candidate.,TRUE,35276,841,8869,4474,203,2014-03-27 19:50:51+00:00,"b'Mitch Mcconnell has announced that NO REPUBLICANS WILL VOTE FOR THE INFRASTRUCTURE BILL because, well, I guess they think our infrastructure is just fine?'",-2
3,1390055383117488132,,,,8,0,en,Twitter for iPhone,FALSE,1551532544,2021-05-05 21:26:43+00:00,bobbiejaneV,NY,Artist/Graphic Designer/Desktop Publisher 🇺🇸We Celebrate return of Decency/Hope/Pride 💪ResisterSister🔥 Animals🐈 BLM StillWithHer ClimateChange RA,FALSE,5292,5499,50966,108828,82,2013-06-27 21:13:12+00:00,b'RT @GDThor1: @zzcouch1gmailc3 @zazzybritches @Birdmischief @HondoResists @BlueSwede2000 @bobbiejaneV @StaryStaryNlght @impinkestgirl @Berna\xe2\x80\xa6',
4,1390055318319636480,,,,13,0,en,Twitter for iPad,FALSE,73227909,2021-05-05 21:26:28+00:00,Abhinary,,I am more than a collection of words can adequately elucidate.,FALSE,669,94,84473,208194,32,2009-09-10 21:39:23+00:00,b'RT @DawnChapmanSTL: Thank you @EPAMichaelRegan  and @RepCori @CoriBush for meeting w/ us @Justmomsstl this morning about West Lake Landfill\xe2\x80\xa6',-2
5,1390055227563315200,,,,70,0,en,Twitter Web App,FALSE,1285977489379069954,2021-05-05 21:26:06+00:00,WAnon1962,,WE WILL NOT GO QUIETLY,FALSE,56,442,10467,10814,0,2020-07-22 16:38:34+00:00,"b'RT @EpochTimesChina: #Texas is moving ahead with legislation aimed at keeping hostile countries, including #China, out of the state\xe2\x80\x99s criti\xe2\x80\xa6'",2
6,1390054928886992898,1390053260317401094,,,0,0,en,Twitter Web App,FALSE,1300460650204864512,2021-05-05 21:24:55+00:00,blacrai,,"We Empower,Uplift, Support and Protect Black Men in The Battle Of Their Life, Against Anti-Black Racism & Black Misandry thru Environmental Justice & Activism",FALSE,101,395,2792,8351,1,2020-08-31 15:49:32+00:00,"b'@CatherinesYoun1 @GabrielProsser3 @philanderwicks @MsBless2013 @MalcolmXScholar @GryKngBlakState @kevskewl @Xurtis1 @redz001DC @pab7ofr3sh @kellyClarence1 @casrule @lasa1170 @ARTESIA13 @SonMemphis @MarleyK20 @JBizsm @MsKweet @AJNash10 @ViceyBass @NuAfrikansRise @EmpressAdaeze @BrendaSFBA @BlackAmerican33 @TheBlackCaucus Call their offices. Fax. Write and ask them. Tell them to with hold their 56 votes on any @POTUS immigration &amp; infrastructure bill until Reparations, Punishing Police, Black Wealth Gap. $31 Billion Indians no Study needed,Asian crime bill no study needed'",-2
7,1390054883655659521,,,,70,0,en,Twitter for iPhone,FALSE,151600615,2021-05-05 21:24:44+00:00,kmyng,,,FALSE,40,113,3935,1820,6,2010-06-03 20:05:04+00:00,"b'RT @EpochTimesChina: #Texas is moving ahead with legislation aimed at keeping hostile countries, including #China, out of the state\xe2\x80\x99s criti\xe2\x80\xa6'",2
8,1390054782866530304,,,,0,0,en,Twitter for iPad,FALSE,705890784319377409,2021-05-05 21:24:20+00:00,Dlw20161950,"Texas, USA","#CruzCrew #ToughAsTexas #MAGAForever  #JobsNotMobs #BuildTheWall Consistent, Constitutional, Conservative, Christian, Mechanical Engineering Purdue Univ.",FALSE,7887,8229,2132,233842,88,2016-03-04 23:00:52+00:00,b'Americans Overwhelmingly Oppose Party-Line Democrat Vote for Infrastructure Bill https://t.co/59OhuBvdQA',2.5
9,1390054671226531847,,,,13,0,en,Twitter Web App,FALSE,1228888707731578881,2021-05-05 21:23:54+00:00,RowanMarxFilms,The Ministry of Truth,"🌹Maths Enthusiast, Physics Fan, Video Editor/Cringe Film Maker, Green Socialist, Classical Marxist, #BlackLivesMatter, #NetNeutrality. #YangForNY. He/Him. 🌹",FALSE,543,314,66244,22430,5,2020-02-16 03:48:07+00:00,b'RT @DawnChapmanSTL: Thank you @EPAMichaelRegan  and @RepCori @CoriBush for meeting w/ us @Justmomsstl this morning about West Lake Landfill\xe2\x80\xa6',-2
