,id,reply_to_id,coordinates,place,retweet_count,favorite_count,lang,source,is_quote_status,user_id,created_at,screen_name,user_loc,user_description,verified,followers_count,friends_count,favourites_count,statuses_count,listed_count,user_created_at,text,tweet category,2017 Pew Research Typology
0,1389309287067889920,,,,280,0,en,Twitter for iPhone,False,148604896.0,2021-05-03 20:02:00+00:00,007robertamac,Federal Way WA,Calming Down class | Parent Success book | Life Coach     #BernieSanders2020,False,375,753,6505,59524,6,2010-05-27 03:50:39+00:00,"b'RT @SenSchumer: This Senate will work with @POTUS to pass the #AmericanJobsPlan.\n\nA big, bold bill that will create jobs,\ninvest in infrast\xe2\x80\xa6'",-2.0,-3.0
1,1389777081505091584,,,,34,0,en,Twitter for iPhone,False,1.3e+18,5/5/2021 3:00,1015_cookie,,25 years as a bartender a.k.a. a therapist,False,4081,4949,20825,184043,4,8/25/2020 15:27,b'RT @EyeOfTheIdol: Fuck Mitch McConnell and the Republicans! Steam roll every single one of those obstructionists on the infrastructure bill\xe2\x80\xa6',,-4.0
2,1388198621980499968,,,,0,0,en,TweetDeck,False,9616062.0,4/30/2021 18:28,10News,"San Diego, CA","Get all the major news that matters to you from San Diego's leading news source, ABC 10News. Got a news tip? Call (619) 237-6383 / visit http://t.co/NHP5fS76kw.",True,177624,15075,4718,186493,1909,10/23/2007 6:12,b'WATCH LIVE: Biden to rally support for infrastructure bill in Philadelphia https://t.co/XU3yjQHB53',,0.0
3,1388140470782603264,,,,145,0,en,Twitter for iPhone,False,4906579282.0,4/30/2021 14:37,14me24u2,Swarthmore PA,,False,972,1747,131880,70346,8,2/13/2016 23:35,"b'RT @MSNBC: .@SRuhle: ""According to US News &amp; World Report, West Virginia ranks 45th in education, 47th in health care, 48th on the economy,\xe2\x80\xa6'",,-4.0
4,1388121131811487744,,,,203,0,en,Twitter for Android,False,1350179725.0,4/30/2021 13:20,1970LizzieM,,"Mother•Grandmother•Family's Everything•The Arts•#Insulin4All•
#Type1DiabetesAwarenessMatters• #CureT1D•AHG #KingRichard•#TheHotZone",False,780,174,58904,159871,59,4/13/2013 20:34,"b""RT @NBCNews: U.S. Senate overwhelmingly passes $35B bill to bolster states' water infrastructure in bipartisan 89-2 vote. https://t.co/M52S\xe2\x80\xa6""",,-4.0
5,1388055021737103360,,,,2123,0,en,Twitter for Android,False,7.11e+17,4/30/2021 8:58,1CountryRose,,,False,255,389,41780,22733,16,3/19/2016 17:14,b'RT @mmpadellan: Republicans are against:\n- The COVID Relief Bill\n- $15 minimum wage\n- Billionaires paying taxes\n- Infrastructure\n- Voting r\xe2\x80\xa6',,-4.0
6,1388945354247266304,,,,21,0,en,Twitter for Android,False,8.77e+17,5/2/2021 19:55,1SparkyOne,,,False,341,459,123308,152426,1,6/18/2017 19:39,b'RT @politico: Sen. Bill Cassidy said Republicans and Democrats are \xe2\x80\x9ca lot closer than you might think\xe2\x80\x9d on a bipartisan path for President J\xe2\x80\xa6',,-4.0
7,1388365488758067200,,,,396,0,en,Twitter for Android,False,8.21e+17,5/1/2021 5:31,1stillstanding2,,A voter trying to make ends meet.,False,27,342,16754,58848,2,1/15/2017 7:15,"b'RT @MSNBC: .@SRuhle: ""According to US News &amp; World Report, West Virginia ranks 45th in education, 47th in health care, 48th on the economy,\xe2\x80\xa6'",,-4.0
8,1389286502643994624,,,,201,0,en,Twitter Web App,False,1.02473e+18,2021-05-03 18:31:28+00:00,1wsky,reflection point,gene expression,False,425,551,6550,15933,0,2018-08-01 18:44:39+00:00,b'RT @RepDLesko: Biden has already signed a nearly $2 trillion so-called \xe2\x80\x9cCOVID-19 relief\xe2\x80\x9d bill. Now he\xe2\x80\x99s pushing a $2 trillion \xe2\x80\x9cinfrastructu\xe2\x80\xa6',,2.8
9,1389329033393880064,,,,348,0,en,Twitter Web App,False,1.09008e+18,2021-05-03 21:20:28+00:00,2000_4Runner,Calgary AB\Peoria AZ,,False,2974,4063,311360,153770,0,2019-01-29 02:34:13+00:00,b'RT @MsAvaArmstrong: The 2 Trillion dollar infrastructure bill only spends 5% on infrastructure.',,4.0
10,1388306108889108480,1.3882712037024276e+18,,,0,0,en,Twitter for iPhone,False,1.31e+18,5/1/2021 1:35,2020_sucksballs,"New York, USA","If you’re a fan of Trump, please jump off a cliff",False,15,130,659,1317,0,10/8/2020 23:43,b'@SenTedCruz So you vote no to the water infrastructure bill even after your constituents had to melt snow to provide themselves water no more than two months ago. You\xe2\x80\x99re a real piece of shit. Why don\xe2\x80\x99t you go back to Mexico and stay there?',,-4.0
11,1388587947126136832,,,,99,0,en,Twitter for iPhone,False,61215313.0,5/1/2021 20:15,21nfreedman,Earth,"The world will not be destroyed by those who do evil, but by those who watch them without doing anything - Einstein
#ClimateChange #BlueWave2022 #DCStatehood",False,160,358,23970,14007,1,7/29/2009 15:06,"b'RT @nytimes: ""Through his Covid relief bill and infrastructure proposals, Mr. Biden is striving to prove that government can craft policies\xe2\x80\xa6'",,-2.0
12,1388995180238446592,,,,29,0,en,Twitter Web App,False,3191888037.0,5/2/2021 23:13,24baseballReed,"Tennessee, USA",#TheResistance supporter of voting rights,False,15121,16432,47033,590899,30,4/21/2015 18:32,b'RT @SenGaryPeters: No matter where you live in Michigan you deserve access to safe and clean drinking water. I was proud to help pass criti\xe2\x80\xa6',,-4.0
13,1388169304579842048,,,,58,0,en,Twitter Web App,False,22960461.0,4/30/2021 16:32,2tall4u2,"Los Angeles, CA","SAG-AFTRA Natl & LA Local Board member, Actor, Comedian, Audience Warm Up, Talk Radio Host, Writer. Cancer Survivor! Stem Cell Transplants rock! Bookings: PM me",True,53610,4495,177727,99461,176,3/5/2009 19:02,b'RT @old_osc: U.S. Household Income Surged by Record 21.1% in March - The Wall Street Journal\n\nThis is progress \xe2\x81\xa6@Sen_JoeManchin\xe2\x81\xa9 this helps\xe2\x80\xa6',,-4.0
14,1388173001158447104,1.388173000013488e+18,,,0,0,en,Twitter Web App,False,1.27e+18,4/30/2021 16:46,374Water,"Durham, NC","Supercritical Water Oxidation for wastewater sludge, biosolids, industrial waste, PFAS and fecal waste management",False,38,18,17,101,0,5/26/2020 13:16,b'@374Water strongly supports this bill that will advance top-notch water infrastructure and policies that are conducive to public health and the environment. \n\n#SCWO #waterinfrastructure #watertech #bipartisancooperation #drinkingwaterquality #wateractof2021',,0.0
15,1388140158768140288,,,,0,0,en,Twitter Web App,False,3727869734.0,4/30/2021 14:36,39CSustain,,"Tracking climate change, urban policy & sustainability @UCIrvine. #39CConversations | #39CSustain | #39CSolutions | #39CJustice |#39CInformationLiteracy",False,508,1187,1680,18030,13,9/29/2015 17:10,"b'#GreatNews\n\nThis gives the EPA funding to help communities upgrade aging infrastructure, invest in new technologies and support disadvantaged communities. \n\nU.S. Senate overwhelmingly passes $35 billion water infrastructure bill https://t.co/9wfH1KAdkv via @YahooNews'",,-4.0
16,1388140476574932992,,,,0,2,en,Twitter for iPhone,False,1.34e+18,4/30/2021 14:37,4evaBlessed23,,"Hey Tweeps! New account for @BritishRaider69 because Twitter said I was mean to SecPompeo! Still anti-Trump/MAGA, Raiders 🏈& Liverpool 🏐fan for life!❤️",False,3747,4358,20006,5191,1,12/30/2020 15:14,"b'Stephanie Ruhle just whooped Governor @JimJusticeWV ass over his signing of a transgender bill! \xf0\x9f\x98\x82He couldn\xe2\x80\x99t give 1 example to support his reasoning. Steph reminded him WV ranks near the bottom in economy/education/healthcare/infrastructure, &amp; those should be his priorities.\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/vQwAJkI31R'",-3.0,-4.0
17,1389378343443836928,,,,166,0,en,Twitter for iPhone,False,365216503.0,2021-05-04 00:36:25+00:00,56kbird,Chicago,,False,2083,2020,76032,158921,82,2011-08-31 01:49:25+00:00,b'RT @realTuckFrumper: Report: Joe Biden is Preparing to Pass Infrastructure Bill Without Republican Support https://t.co/Va0wrVnwo3',,-3.0
18,1388813825974181888,1.3885815777147208e+18,,,0,2,en,Twitter Web App,False,398398155.0,5/2/2021 11:13,56ward,,,False,9,5,26,631,0,10/26/2011 0:40,"b""@JoeBiden Mr. President (Joe)Biden , me being a retired postal worker , I'm wondering if you have any provision in the ' Infrastructure Bill ' of funding , and protecting , and assuring our USPS's ( a National Treasure and Service ) survival ? It , taken for granted !""",,2.0
19,1389357750648549376,1.38935e+18,,,0,0,en,Twitter for Android,False,9.23192e+17,2021-05-03 23:14:35+00:00,69bull69dawg69,"Orlando, FL","thoughts, opinions, sports. saint & sinner. USAF. death penalty. gun laws. masks. vaccine. equality. Take care of mental & physical health. Michigan Fla Biloxi",False,746,2041,9479,6368,2,2017-10-25 14:19:13+00:00,"b""@SenTedCruz Isn't this part of that infrastructure bill the qrepublicans rejected?""",-1.0,-2.5
20,1389328983049870080,,,,27,0,en,Twitter for iPhone,False,457220742.0,2021-05-03 21:20:16+00:00,727hopealways,,"A concerned citizen, lover of animals who loves this country and thinks Trump is the absolute worst thing that has ever happened to America!",False,911,1422,6630,44549,2,2012-01-07 04:55:13+00:00,"b'RT @TheTrueAmerica5: Make it so, Joe!\n\nReport: Joe Biden is Preparing to Pass Infrastructure Bill Without Republican Support | https://t.co\xe2\x80\xa6'",-1.0,-1.25
