,created_at,id,reply_to_id,coordinates,place,retweet_count,favorite_count,lang,source,is_quote_status,user_id,user_loc,verified,followers_count,friends_count,favourites_count,statuses_count,listed_count,user_created_at,screen_name,user_description,text,tweet category
8112,5/3/2021 1:56,1390000000000000000,,,,0,0,en,Twitter for iPhone,False,87447137,United States,False,439,993,18944,5232,8,11/4/2009 14:12,sajumu,Bridge over the Atlantic. Still learning. Coffee & workouts. Support your local paper! Opinions are my own😷,wording matters calling the infrastructure bill a spending package gives a negative connotation change your language please,
4803,5/4/2021 11:52,1390000000000000000,,,,21,0,en,Twitter for iPhone,False,45336278,Florida,False,3839,4156,119336,45064,0,6/7/2009 13:13,EzraHasOpinions,"I’m not here to change your mind, only to express what’s on mine! Having a different opinion doesn’t make us enemies. Giver of mom hugs 🤗 🌈 $NoLaOrlando",rt great pros and cons list from on whether democrats should work with republicans to get a deal on infras,
10113,5/2/2021 13:34,1390000000000000000,,,,0,0,en,Twitter Web App,False,364594435,,False,0,34,75,2976,3,8/30/2011 0:55,jgoins1,,when has the republicans tried to get a bill passed on infrastructure not in the last years republicans clearly are only interested in catering for corporate donations they have openly been obstructionists to america s progress,
5059,5/4/2021 7:07,1390000000000000000,,,,202,0,en,Twitter for iPhone,False,2920934210,"San Diego, CA",False,907,2933,7060,12915,39,12/6/2014 18:42,AnimalHRV,,rt biden has already signed a nearly trillion so called covid relief bill now he s pushing a trillion infrastructu,
16440,4/30/2021 3:32,1390000000000000000,,,,2123,0,en,Twitter for Android,False,26218806,West New Jersey,False,131,1084,66365,17334,2,3/24/2009 11:35,MartyAbe,#TakeFlight #CHOP,rt republicans are against the covid relief bill minimum wage billionaires paying taxes infrastructure voting r,
11299,5/1/2021 16:39,1390000000000000000,,,,21,0,en,Twitter Web App,False,1969341433,United States,False,1910,2421,169316,182434,21,10/18/2013 17:56,DMDeDionisio,"Playwright/Director - Screenwriter - #WeThePeople #TeamPatriot #ImpeachTrump #BlueWave2020 
#WeAreThePatriots #VoteBiden/Harris2020",rt the wh says pres biden is willing to wait until memorial day for congress to compromise and pass the infrastructure bill,
4781,5/4/2021 12:02,1390000000000000000,,,,3,0,en,Twitter for iPad,False,18360735,,False,4493,3256,639747,491872,156,12/24/2008 16:57,suepeac,"Polygeek, Mom, wife, quilter, gardener,Edmonton 🇨🇦 #climatebrawl",rt oldman did i mishear or did tell us tonight that despite bill if people won t follow the restrictions and end up bloc,
15300,4/30/2021 14:17,1390000000000000000,,,,20,0,en,Twitter for iPhone,False,15445377,"San Diego, NYC or Paris. My company is Creativity to Cash(TM)",False,11910,12052,43157,39896,530,7/15/2008 20:15,davincidiva,"Award-winning #brand #storytelling, @NewYorker #cartoonist, #speaker, Co-Author DaVinci Dilemma™ ex-Madison Ave ACD/#copywriter https://t.co/V77heyJrKA",rt with all the talk from about jamming the anti independent contractor proact into the infrastructure bill now migh,
8153,5/3/2021 1:36,1390000000000000000,,,,1,0,en,Twitter Web App,False,3821227853,Eastern Time Zone,False,4137,2642,103018,590537,10,9/30/2015 5:09,Dovewoman1,NO LISTS!   I like animals more than I like most people.,rt this tired opinion piece again tell us what isn t real infrastructure in the bill you can t not w o,
12544,5/1/2021 0:33,1390000000000000000,,,,16,0,en,Twitter for iPhone,False,1361820264,"Ohio, USA",False,319,439,73610,6999,0,4/18/2013 12:45,StephanietoniW,"I’m a teacher and writer. Taught in four states and Thailand. Founded a nonprofit with my sister . Have a new Chiweenie , named Gladys. And a great hubby.",rt ohio gov mike dewine i think there s a truly bipartisan bill to be had here i don t think there s any doubt that we ve neg,
12405,5/1/2021 1:14,1390000000000000000,,,,23,0,en,Twitter Web App,False,78437242,gnognolloW,False,680,2808,64166,29547,8,9/29/2009 22:40,edillades,Nacido en Tijuaz,rt if bill gates cared about lives in india rather than preserving ip he would use his vaunted foundation to fund the infr,
1087,5/6/2021 5:03,1390000000000000000,1390000000000000000,,,0,1,en,Twitter for iPad,False,343805997,,False,185,435,138,17658,3,7/28/2011 3:18,italypete10,"Veteran,JSOC operative, worked for DLA, DLI retired spend my time between Europe and laying by the pool, love the violin, autocross, cooking #resistance",they need to stop playing nice with the gqp grifters qanon party led by orange julius mcconnell is using the same crap he did with obama pass the infrastructure bill already republiqans are a dead and useless party,
14982,4/30/2021 15:01,1390000000000000000,,,,748,0,en,Twitter Web App,False,863108401,"British Columbia, Canada",False,2993,4962,109830,43147,10,10/5/2012 14:05,carpediemer52,Retired legal assistant. Nature and landscape photographer #AccidentalActivist #BLM #LincolnProject #Resist #BeCalm #BeKind #BeSafe #BIDENHARRIS2020 🇨🇦🇩🇰,rt this morning s stephanie ruhle destroyed gqp bigoted gov jim justice over the anti trans bill banning trans chi,
1873,5/5/2021 19:10,1390000000000000000,,,,20,0,en,Twitter for iPhone,False,419826827,"St. Louis, MO",False,1098,1248,46887,8181,5,11/23/2011 20:56,rfriedman22,"Computational biology PhD candidate, Cohen Lab @WashUGenetics | enhancers | machine learning | data viz | NRSA fellow 🏳️‍🌈✡️ #BlackLivesMatter he/him views=me",rt thank you and for meeting w us this morning about west lake landfill,
2997,5/5/2021 1:45,1390000000000000000,,,,1,0,en,TweetDeck,True,15741370,"Chattanooga, TN",True,116891,28826,57414,401836,841,8/5/2008 20:35,newschannelnine,"Keeping you more aware, more prepared & better informed in the Chattanooga area & beyond. Thank you for joining the discussion. We follow back.",rt i got to chat with to get his thoughts on biden s infrastructure plan and to discuss his priorities for add,
307,5/6/2021 17:01,1390000000000000000,,,,4,0,en,Twitter Web App,False,2598357146,MT,False,3890,4772,474710,239627,21,7/1/2014 18:11,GailWaldby,"#VaxUp #DemCast https://t.co/ZaJ5YGebSy
#Postcardstovoters",rt we pray for disabled you ve cut services disenfranchised growing s families in poverty oppres,
5130,5/4/2021 5:43,1390000000000000000,,,,0,0,en,Twitter Web App,True,14808260,"Los Angeles, CA",False,4686,1611,43862,217189,231,5/17/2008 5:40,RamasScreen,"@HCAcritics member. Social Media man, YouTuber, Q&A Moderator, Entertainment Journalist * For business, contact: rama@ramascreen.com* https://t.co/RN4bRsYPSj",and here in america the gop are against joe biden s infrastructure bill my hearts go out to the people of mexico to night,
11210,5/1/2021 17:14,1390000000000000000,,,,396,0,en,Twitter for Android,False,329770088,Delta Quadrant,False,3241,4913,82880,87192,13,7/5/2011 16:03,AdmiralFoxxway,"Starship Admiral (it's my happy place), product tester, 💖☕,humor,tech, music & language. #Resist (ance is NOT futile!) 🖖 #IMFTA🚔 #TrekYerself 🖖🏽💯 #FBR🎉",rt according to us news world report west virginia ranks th in education th in health care th on the economy,
10886,5/1/2021 20:13,1390000000000000000,,,,99,0,en,Twitter for Android,False,3148013420,,False,130,91,2479,92864,3,4/10/2015 13:01,jimmyduranluna,"Aficionado a  los deportes y a la música  Clásica pasando por el Jazz , Blues , Swing , Rock , Bossa Nova , etc.",rt through his covid relief bill and infrastructure proposals mr biden is striving to prove that government can craft policies,
2352,5/5/2021 14:15,1390000000000000000,,,,6,0,en,Twitter Web App,False,3191888037,"Tennessee, USA",False,15118,16430,47027,590846,30,4/21/2015 18:32,24baseballReed,#TheResistance supporter of voting rights,rt i want a real fucking infrastructure bill nationwide high speed rail local light rail renewably powered everything,
14644,4/30/2021 15:29,1390000000000000000,,,,748,0,en,Twitter for Android,False,184562493,"Las Vegas, NV",False,140,1950,106068,57349,2,8/29/2010 22:17,rosedud5555,,rt this morning s stephanie ruhle destroyed gqp bigoted gov jim justice over the anti trans bill banning trans chi,
4392,5/4/2021 14:51,1390000000000000000,1390000000000000000,,,0,0,en,Twitter Web App,False,386543721,United States,False,2272,991,61141,184905,68,10/7/2011 13:30,johnreichardwes,International Management Consultant. Over 15 years. World Trade Center Orlando. Management Rep Particulate Matter Solutions Veteran,our us patented dac is in initial launching phase in midwest city has global infrastructure in place cleans hfcs as well as cleans captures co methane etc how do we apply for the hfc funds in the december signed covid relief bill thank you,
